### Control Messages ###
| Message                    | Type Id | Format                      |
| -------------------------- |:-------:| --------------------------- |
| CONTROL_ADD_CHANNEL        |    9000 | `uint64 channel`            |
| CONTROL_REMOVE_CHANNEL     |    9001 | `uint64 channel`            |
| CONTROL_ADD_RANGE          |    9002 | `uint64 low`, `uint64 high` |
| CONTROL_REMOVE_RANGE       |    9003 | `uint64 low`, `uint64 high` |
| CONTROL_ADD_POST_REMOVE    |    9010 | `blob datagram`             |
| CONTROL_CLEAR_POST_REMOVES |    9011 |                             |
| CONTROL_SET_CON_NAME       |    9012 | `string name`               |
| CONTROL_SET_CON_URL        |    9013 | `string url`                |
| CONTROL_LOG_MESSAGE        |    9014 | `blob message`              |

### Client Messages ###
| Message                                  | Type Id | Format                                                                                                         |
| ---------------------------------------- |:-------:| -------------------------------------------------------------------------------------------------------------- |
| CLIENT_HELLO                             |    0001 | `uint32 dc_hash`, `string version`                                                                             |
| CLIENT_HELLO_RESP                        |    0002 |                                                                                                                |
| CLIENT_DISCONNECT                        |    0003 |                                                                                                                |
| CLIENT_EJECT                             |    0004 | `uint16 error_code`, `string reason`                                                                           |
| CLIENT_HEARTBEAT                         |    0005 |                                                                                                                |
| CLIENT_ENTER_OBJECT_REQUIRED             |    0142 | `uint32 do_id`, `uint32 parent_id`, `uint32 zone_id`, `uint16 dclass_id`, `<REQUIRED>`                         |
| CLIENT_ENTER_OBJECT_REQUIRED_OTHER       |    0143 | `uint32 do_id`, `uint32 parent_id`, `uint32 zone_id`, `uint16 dclass_id`, `<REQUIRED>`, `<OTHER>`              |
| CLIENT_ENTER_OBJECT_REQUIRED_OWNER       |    0172 | `uint32 do_id`, `uint32 parent_id`, `uint32 zone_id`, `uint16 dclass_id`, `<REQUIRED>`                         |
| CLIENT_ENTER_OBJECT_REQUIRED_OTHER_OWNER |    0173 | `uint32 do_id`, `uint32 parent_id`, `uint32 zone_id`, `uint16 dclass_id`, `<REQUIRED>`, `<OTHER>`              |
| CLIENT_OBJECT_SET_FIELD                  |    0120 | `uint32 do_id`, `uint16 field_id`, `<VALUE>`                                                                   |
| CLIENT_OBJECT_SET_FIELDS                 |    0121 | `uint32 do_id`, `uint16 field_count`, `[uint16 field_id, <VALUE>]*field_count`                                 |
| CLIENT_OBJECT_LEAVING                    |    0132 | `uint32 do_id`                                                                                                 |
| CLIENT_OBJECT_LOCATION                   |    0140 | `uint32 do_id`, `uint32 parent_id`, `uint32 zone_id`                                                           |
| CLIENT_ADD_INTEREST                      |    0200 | `uint32 context`, `uint16 interest_id`, `uint32 parent_id`, `uint32 zone_id`                                   |
| CLIENT_ADD_INTEREST_MULTIPLE             |    0201 | `uint32 context`, `uint16 interest_id`, `uint32 parent_id`, `uint16 zone_count`, `[uint32 zone_id]*zone_count` |
| CLIENT_REMOVE_INTEREST                   |    0203 | `uint32 context`, `uint16 interest_id`                                                                         |
